codigo,nome,lat,lng,data,id_google,cota_ref,atencao,alerta,inundacao,imagem,ativar
10100000,Tabatinga,-4.2347,-69.9447,12/05/2025,hybas_6121082960,N,0,0,0,imagens/hybas_6121082960.png,S
14100000,Manacapuru,-3.3106,-60.6094,12/05/2025,hybas_6120285310,S,1770,1820,1960,imagens/hybas_6120285310.png,S
14110000,Cucuí,1.2153,-66.8525,12/05/2025,hybas_6120185460,N,0,0,0,imagens/hybas_6120185460.png,S
14250000,São Felipe,0.3717,-67.3128,12/05/2025,hybas_6120200910,N,0,0,0,imagens/hybas_6120200910.png,S
14420000,Serrinha,-0.4819,-64.8289,12/05/2025,hybas_6120217970,N,0,0,0,imagens/hybas_6120217970.png,S
14515000,Fazenda Passarão,3.2078,-60.5711,12/05/2025,ANA_14515000,N,0,0,0,imagens/ANA_14515000.png,S
14527000,Ponte do Tacutu,3.5675,-59.8883,12/05/2025,ANA_14527000,N,0,0,0,imagens/ANA_14527000.png,S
14620000,Boa Vista,2.8271,-60.6521,12/05/2025,hybas_6120155910,S,750,800,850,imagens/hybas_6120155910.png,S
14650000,Posto Funai,2.7317,-62.0172,12/05/2025,hybas_6120158190,N,0,0,0,imagens/hybas_6120158190.png,S
14680001,Fé Esperança,2.8646,-61.4146,12/05/2025,hybas_6120155040,N,0,0,0,imagens/hybas_6120155040.png,S
14690000,Mucajaí,2.5271,-60.9396,12/05/2025,hybas_6120162080,N,0,0,0,imagens/hybas_6120162080.png,S
14710000,Caracaraí,1.8104,-61.1229,12/05/2025,hybas_6120174530,S,800,850,900,imagens/hybas_6120174530.png,S
14740000,Fazenda Anauá,1.1271,-60.2188,12/05/2025,hybas_6120186820,N,0,0,0,imagens/hybas_6120186820.png,S
14840000,Moura,-1.4567,-61.6347,12/05/2025,hybas_6120238590,N,0,0,0,imagens/hybas_6120238590.png,S
15400000,Porto Velho,-8.7483,-63.9169,12/05/2025,hybas_6120442450,N,0,0,0,imagens/hybas_6120442450.png,S
15630000,Humaitá,-7.5028,-63.0183,12/05/2025,hybas_6120410130,N,0,0,0,imagens/hybas_6120410130.png,S
16030000,Itacoatiara,-3.1539,-58.4111,12/05/2025,hybas_6121071910,S,1350,1400,1420,imagens/hybas_6121071910.png,S
16368000,Mineração Caima,-1.4381,-57.8269,12/05/2025,hybas_6120238270,N,0,0,0,imagens/hybas_6120238270.png,S
17050001,Óbidos,-1.9192,-55.5131,12/05/2025,hybas_6120251180,N,0,0,0,imagens/hybas_6120251180.png,S
17430000,Barra do São Miguel,-7.3397,-58.1553,12/05/2025,hybas_6120405310,N,0,0,0,imagens/hybas_6120405310.png,S
