codigo,inicio,fim,cmin,cmax,a,h0,n,qmin,qmax
10100000,01/01/1995,25/06/2012,-90,1119,670,-6.72,1.5,9407.18,50782.98
10100000,01/01/1995,25/06/2012,1119,1400,353.4659,-7.39,1.7,50783.80,64521.71
10100000,26/06/2012,31/12/2021,60,1400,1009.1677,-6.16,1.397,14567.96,67040.40
10100000,01/01/2022,31/12/2025,-300,1400,1009.1677,-6.16,1.397,5035.31,67040.40
14100000,01/01/1972,27/09/2014,280,1548,636.9071,-7.8,1.624,29455.94,105695.49
14100000,01/01/1972,27/09/2014,1548,2100,1061.2541,-2.26,1.6,105717.08,163077.83
14100000,28/09/2014,31/12/2021,280,1666,10.6615,-19.82,2.587,34032.25,117180.18
14100000,28/09/2014,31/12/2021,1666,2100,1061.2541,-2.26,1.6,117190.71,163077.83
14100000,17/06/2021,31/12/2025,190,1505,157.1448,-10.43,1.974,22380.05,93785.93
14100000,17/06/2021,31/12/2025,1505,2100,957.485,-1.66,1.628,93785.92,153990.92
14110000,30/10/2014,15/06/2021,1200,2103,477.003,11.49,1.31,197.44,9156.50
14110000,30/10/2014,15/06/2021,2103,2300,167.3623,10.5,1.7,9157.69,12257.58
14110000,16/06/2021,31/12/2025,1150,2040,385.3246,11.44,1.416,7.17,8595.97
14110000,16/06/2021,31/12/2025,2040,2300,360.6395,11.1,1.422,8595.20,12203.97
14250000,31/10/2014,31/05/2021,480,824,248.2575,1.69,1.693,1694.91,5981.35
14250000,31/10/2014,31/05/2021,824,1210,324,2.55,1.677,5982.30,14256.43
14250000,31/10/2014,31/05/2021,1210,1500,327.743,1.64,1.607,14253.48,21120.51
14250000,01/06/2021,31/12/2025,410,697,306.4288,1.69,1.589,1239.81,4311.17
14250000,01/06/2021,31/12/2025,697,1065,322.2079,2.32,1.688,4313.17,11539.45
14250000,01/06/2021,31/12/2025,1065,1500,393.8934,1.9,1.557,11536.80,21625.70
14420000,10/08/1977,27/01/1983,290,983,1827.2114,2.15,1.305,1255.29,26132.75
14420000,10/08/1977,27/01/1983,983,1050,2113.5602,5.01,1.6,26175.19,32235.20
14420000,28/01/1983,02/04/1997,330,803,2064.4653,1.79,1.218,3410.37,19201.82
14420000,28/01/1983,02/04/1997,803,1100,23.5777,-3,2.792,19203.14,37367.23
14420000,03/04/1997,19/03/2015,330,796,1750.2827,1.51,1.316,3765.85,20346.46
14420000,03/04/1997,19/03/2015,796,1100,78.5448,-2.17,2.4,20350.74,38205.27
14420000,20/03/2015,31/12/2021,300,490,2064.47,1.79,1.218,2604.00,8222.25
14420000,20/03/2015,31/12/2021,490,800,1454.5192,1.49,1.412,8221.83,20487.82
14420000,20/03/2015,31/12/2021,800,1100,9.7081,-5.2,2.967,20505.82,37650.03
14420000,01/01/2022,31/12/2025,300,490,2064.47,1.79,1.218,2604.00,8222.25
14420000,01/01/2022,31/12/2025,490,800,1454.5192,1.49,1.412,8221.83,20487.82
14420000,01/01/2022,31/12/2025,800,1100,9.7081,-5.2,2.967,20505.82,37650.03
14515000,01/05/1977,10/07/2002,470,743,277.9728,4.38,1.387,57.23,1305.35
14515000,01/05/1977,10/07/2002,743,1117,249.7273,4.38,1.483,1305.22,4276.90
14515000,01/05/1977,10/07/2002,1117,1300,203.1107,4.83,1.65,4277.40,6499.79
14515000,11/07/2002,24/03/2016,460,778,249.7273,4.25,1.483,52.64,1621.12
14515000,11/07/2002,24/03/2016,778,1300,203.1107,4.12,1.601,1621.31,6701.04
14515000,25/03/2016,31/12/2021,460,1070,262.9742,4.34,1.45,37.29,3845.26
14515000,25/03/2016,31/12/2021,1070,1117,249.7273,4.38,1.483,3845.29,4276.90
14515000,25/03/2016,31/12/2021,1117,1300,203.1107,4.83,1.65,4277.40,6499.79
14515000,01/01/2022,31/12/2025,460,1070,262.9742,4.34,1.45,37.29,3845.26
14515000,01/01/2022,31/12/2025,1070,1117,249.7273,4.38,1.483,3845.29,4276.90
14515000,01/01/2022,31/12/2025,1117,1300,203.1107,4.83,1.65,4277.40,6499.79
14527000,01/11/2005,31/12/2014,380,1450,41.65,3.17,1.891,17.38,4103.59
14527000,01/01/2015,31/12/2021,290,456,26.2432,2.88,2.089,0.01,77.57
14527000,01/01/2015,31/12/2021,456,1450,41.65,3.17,1.891,77.63,4103.59
14527000,01/01/2022,26/08/2022,320,1450,33.0537,3.04,1.977,0.88,4104.20
14527000,27/08/2022,31/12/2025,330,1450,47.1429,3.23,1.844,0.35,4103.59
14620000,20/11/2012,31/12/2021,-60,1100,139.73,-1.47,1.897,107.29,16755.15
14620000,01/01/2022,31/12/2025,-70,1100,139.73,-1.47,1.897,85.11,16755.15
14650000,09/09/2013,31/12/2025,300,519,52.8979,2.96,2.027,0.08,268.81
14650000,09/09/2013,31/12/2025,519,1000,219.9136,4.01,1.193,267.92,1860.90
14680001,07/12/1973,30/04/1983,120,365,68.1993,0.83,1.863,10.70,470.54
14680001,07/12/1973,30/04/1983,365,800,89.1175,0.62,1.5,470.03,1786.68
14680001,01/05/1983,25/07/1988,140,216,68.1993,0.8,1.863,26.33,120.94
14680001,01/05/1983,25/07/1988,216,371,182,1.45,1.2,120.67,484.17
14680001,01/05/1983,25/07/1988,371,600,89.1175,0.62,1.5,484.06,1112.08
14680001,26/07/1988,01/08/1995,160,365,69,0.88,1.85,37.58,454.40
14680001,26/07/1988,01/08/1995,365,458,155,1.2,1.2,454.29,668.39
14680001,26/07/1988,01/08/1995,458,601,5.5292,-1.9,2.566,668.60,1115.28
14680001,26/07/1988,01/08/1995,601,700,89.1175,0.62,1.5,1115.18,1436.13
14680001,02/08/1995,06/06/2006,130,216,68.1993,0.8,1.863,18.75,120.94
14680001,02/08/1995,06/06/2006,216,371,182,1.45,1.2,120.67,484.17
14680001,02/08/1995,06/06/2006,371,800,89.1175,0.62,1.5,484.06,1786.68
14680001,07/06/2006,26/08/2014,160,281,69,0.74,1.863,52.10,267.61
14680001,07/06/2006,26/08/2014,281,501,93.36,0.88,1.6,267.33,902.99
14680001,07/06/2006,26/08/2014,501,588,0.2954,-9.5,3,902.43,1074.68
14680001,07/06/2006,26/08/2014,588,700,89.1175,0.62,1.5,1075.08,1436.13
14680001,27/08/2014,31/12/2021,110,335,87.1237,0.89,1.7,6.14,402.46
14680001,27/08/2014,31/12/2021,335,700,89.1175,0.62,1.5,401.98,1436.13
14680001,01/01/2022,31/12/2025,100,335,87.1237,0.89,1.7,2.04,402.46
14680001,01/01/2022,31/12/2025,335,740,89.1175,0.62,1.5,401.98,1573.29
14690000,01/03/1995,31/12/2021,730,1092,51.2799,7.05,1.75,4.53,547.57
14690000,01/03/1995,31/12/2021,1092,1700,21.5982,5.55,1.923,547.22,2346.93
14690000,01/01/2022,31/12/2025,730,1092,51.2799,7.05,1.75,4.53,547.57
14690000,01/01/2022,31/12/2025,1092,1700,21.5982,5.55,1.923,547.22,2346.93
14710000,01/01/1967,31/12/2021,-50,1150,245.6854,-0.92,1.68,57.21,16924.02
14710000,01/01/2022,31/12/2025,-30,320,453.3412,-0.35,1.358,7.76,2533.00
14710000,01/01/2022,31/12/2025,320,1150,64.505,-2.49,2.111,2533.00,16920.55
14740000,01/09/2005,31/12/2021,23,1400,21.6098,0.23,1.78,0.00,2301.19
14740000,01/01/2022,31/12/2025,23,1400,21.6098,0.23,1.78,0.00,2301.19
14840000,01/05/2022,31/12/2025,0,1600,2.2695,-13.15,3.002,5187.35,56594.62
15400000,01/04/1967,05/09/1971,210,780,561.2867,-1.29,1.4,3100.73,12336.00
15400000,01/04/1967,05/09/1971,780,927,2.0129,-10.5,3,12336.03,15554.00
15400000,01/04/1967,05/09/1971,927,1500,188.5194,-1.88,1.83,15554.97,33223.67
15400000,06/09/1971,12/04/1973,210,904,100.7158,-3.67,2.011,3418.39,16731.48
15400000,06/09/1971,12/04/1973,904,1388,1173.9504,1.32,1.3,16732.17,31501.87
15400000,06/09/1971,12/04/1973,1388,1550,13.4178,-5.91,2.6,31509.42,38662.03
15400000,13/04/1973,03/07/1976,300,1700,13.4178,-5.91,2.6,3956.98,46104.84
15400000,04/07/1976,25/11/1979,290,1331,142.5231,-2.03,1.926,3078.28,27402.17
15400000,04/07/1976,25/11/1979,1331,1750,188.5194,-1.88,1.83,27390.93,42777.31
15400000,26/11/1979,29/07/2007,160,1750,13.4178,-5.91,2.6,2537.14,48766.88
15400000,30/07/2007,14/03/2015,220,1727,188.5194,-1.88,1.83,2470.95,41852.84
15400000,30/07/2007,14/03/2015,1727,2000,2942.8968,9.56,1.3,41874.12,62099.15
15400000,15/03/2015,13/08/2018,190,1601,262.9403,-2.11,1.703,2799.06,36517.46
15400000,15/03/2015,13/08/2018,1601,1824,1449.3425,6.23,1.415,36517.46,48834.23
15400000,15/03/2015,13/08/2018,1824,2000,2942.8968,9.56,1.3,48848.44,62099.15
15400000,14/08/2018,31/12/2021,120,1705,109.2,-3.7,1.969,2495.85,42798.77
15400000,14/08/2018,31/12/2021,1705,1860,1455.3913,5.99,1.407,42809.80,51485.61
15400000,14/08/2018,31/12/2021,1860,2000,2942.8968,9.56,1.3,51498.43,62099.15
15400000,01/01/2022,02/04/2023,100,1650,173.9083,-3.4,1.811,2544.56,39133.01
